Dataset,CE,Cosine Reg weight: 0.1,Cosine Reg weight: 1.0,SIGReg Reg weight: 0.01,Scratch18,Scratch50,VICReg Reg weight: 0.01,VICReg Reg weight: 0.1
cifar10,61.55,59.02,53.08,57.49,37.32,32.39,62.67,58.32
dtd,38.56,38.62,33.24,35.9,23.56,17.55,40.96,33.62
eurosat,83.72,80.48,71.72,79.48,75.69,75.02,86.09,83.46
flowers102,57.67,56.61,40.04,46.58,34.1,29.53,60.22,52.19
